_id,toponimo,n_id,estado,tipo_estac,sinal_vert,sinal_info_vert,n_lugares,pictograma,objectid,globalid,esriGeometryPoint
1,Pátio do Bolhão,218,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,1,{37F0CF74-4858-4DD5-A881-2273B2F20A3E},"-39750.45849999972,164830.97279999964"
2,Rua do Engenheiro Ferreira Dias,142,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,2,{E4A90D10-E61F-4444-8452-7077501F3682},"-43236.79829999991,167663.66449999996"
3,Rua de D. João Coutinho,143,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Não,3,{5DDBFD03-19E9-4E93-8736-B19DD43698A5},"-43047.1436999999,167659.34229999967"
4,Rua de Júlio Dinis,176,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,4,{A7E63E49-4A57-4F4A-93A3-337018B811A3},"-41371.74469999969,164729.46890000068"
5,Rua da Infanta D. Maria,158,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,5,{189AB8D4-CD62-4920-BE20-93DF832E1003},"-41024.79889999982,165640.40059999935"
6,Avenida da Boavista,83,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,6,{A2653849-43C8-4042-AB3F-F591D6779BCD},"-41261.373200000264,165459.22309999913"
7,Alameda de Eça de Queirós,42,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,7,{C84C2895-5884-4A04-90ED-FE61B67C37E2},"-38656.83609999996,166026.7455000002"
8,Rua de Álvares Cabral,155,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,8,{19738B44-97B6-4BC7-87B9-074BA2411FEA},"-40740.22329999972,165215.0792999994"
9,Rua de 31 de Janeiro,57,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,9,{99FFB637-A471-4F49-8764-FE6A5A8EF5FB},"-39812.62289999984,164220.9447000008"
10,Praça de Mouzinho de Albuquerque,86,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,10,{7CFEE26E-B86C-4814-AADC-4B7D11E6010D},"-41595.12959999964,165641.71079999954"
11,Rua de Vilar,72,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,11,{029781E2-004D-40C4-BD80-853D41743EC8},"-41439.286799999885,164529.82609999925"
12,Rua de Mouzinho da Silveira,123,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Não,12,{352F4411-B9D3-4E98-9090-5562148961D8},"-40318.80240000039,163915.99579999968"
13,Rua do Professor Vicente José de Carvalho,70,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,14,{B8155D7E-28B8-4EBE-B051-F4E3E34C76AE},"-40710.06049999967,164425.4179999996"
14,Rua Tareija Vaz de Altaro,120,Ativo,4.3.4 - Lugar não individualizado perpendicular,Sim,Sim,20,Sim,15,{1E057DEC-0AA8-4F6F-80C8-EA91C61920B0},"-40096.07309999969,163938.1654000003"
15,Avenida do Marechal Gomes da Costa,102,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,16,{5209BAAD-ABDC-49E8-8E59-EC53F9108F9C},"-45203.63949999958,165281.77449999936"
16,Rua de Gonçalo Cristóvão,163,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,17,{F8467A77-0BEB-433C-9D2B-38524BBB89F3},"-39654.177799999714,165021.37969999947"
17,Largo de Ferreira Lapa,81,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,18,{9E011884-56CA-4D2D-81C2-662E70CEAB82},"-41578.47369999997,165277.6995000001"
18,Rua da Constituição,151,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,19,{6E9AFC39-5158-41CE-9BF0-574197BFF309},"-39736.47269999981,165988.14330000058"
19,Rua da Restauração,172,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,20,{31ED660A-7AEF-4065-9849-F5F4CCBB818E},"-41404.425300000235,164144.66330000013"
20,Rua D. Frei Vicente da Soledade e Castro,18,Ativo,4.2.3 - Lugar individualizado oblíquo,Sim,Sim,10,Sim,21,{EB03D2B0-8D49-4DF8-BF97-D7CF7F70CFF6},"-38858.058899999596,167637.6638999991"
21,Praça de Nove de Abril,21,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,22,{32729E47-8170-483F-85B3-287ECDF5B022},"-40122.94579999987,167159.24210000038"
22,Rua de Domingos Machado,193,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,23,{4BDB45A8-738E-4929-85FE-0261E0124A9A},"-41880.6277999999,166354.7633999996"
23,Rua do Almirante Leote do Rego,115,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,24,{5A7C168A-17B1-4769-B9A2-C65B87B6D748},"-40330.99270000029,166339.39189999923"
24,Rua Professor José Augusto Seabra,122,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,26,{61A861F4-1DA7-4FDD-AA20-A9C415475664},"-41621.359899999574,165892.96429999918"
25,Rua de Cinco de Outubro,85,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,27,{A6740D5B-39BF-4B62-B8CF-647AFF584BAA},"-41711.686099999584,165660.76439999975"
26,Praça do Bom Sucesso,80,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,28,{806FA333-C272-4553-90B7-A829D11D67AA},"-41663.960799999535,165268.41259999946"
27,Rua do Breiner,159,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,29,{584F478B-7A97-4F0F-AF54-58574276B4BC},"-40704.23979999963,164816.61950000003"
28,Rua de Azevedo Coutinho,217,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,30,{281349FA-A86A-4F52-BEAF-02A4B87D5BC6},"-43098.06240000017,165894.8013000004"
29,Rua de Ferreira Borges,124,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,20,Sim,31,{77F57D66-106B-4300-B89E-716C852DE521},"-40476.49179999996,163788.1729000006"
30,Rua de Sobreiras,180,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,32,{BFC4D0AF-7BDD-4571-ADE8-510EFB21236D},"-44292.129399999976,164372.0781999994"
31,Praça da Corujeira,133,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,33,{923E3679-D953-484B-8E07-D489CB9AC704},"-37466.18290000036,165327.35419999994"
32,Rua Henrique de Sousa Reis,211,Ativo,4.2.3 - Lugar individualizado oblíquo,Sim,Sim,10,Sim,34,{E614E2CE-3C03-4FC0-8D90-7D68E1938604},"-38341.99459999986,167674.5809000004"
33,Rua de Gonçalo Sampaio,82,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,35,{A25110C5-EA45-4924-A5E4-19AAFA9BB703},"-41712.90020000003,165268.67109999992"
34,Rua da Travagem,194,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,36,{90542A6D-9C76-4957-8F96-446DFD1A21F5},"-42213.59339999966,166377.79539999925"
35,Via Panoramica,74,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,37,{65E929F3-6486-4A36-A998-6A4D7042BCF2},"-42252.623700000346,164647.35810000077"
36,Rua das Estrelas,75,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,38,{69167BB6-35E9-4DAB-A225-0B3C12F5AB74},"-42487.167100000195,164719.0680999998"
37,Rua do Professor Bento de Jesus Caraça,43,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,39,{B35D6036-1127-4047-9659-3AFC02B3C8B9},"-39004.40390000027,166081.76549999975"
38,Avenida do Dr. Antunes Guimarães,96,Ativo,4.3.4 - Lugar não individualizado perpendicular,Sim,Sim,10,Sim,40,{34909E1A-9CF1-431C-9B7D-A040EEC64CB4},"-44420.44060000032,166252.33720000088"
39,Rua do Dr. Sousa Avides,39,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,41,{091416FA-81A3-4F47-AEF5-422D671B6214},"-38349.110299999826,164763.48819999956"
40,Rua de Manuel Pinto de Azevedo,145,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,42,{0E66C7E0-228F-43B1-B198-2DD8BB44769D},"-43117.427600000054,167194.58320000023"
41,Rua de João de Barros,169,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,43,{63E15C0B-884B-4501-BAB2-56870ED9FD24},"-44464.197200000286,165177.2039999999"
42,Rua do Molhe,26,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,44,{9869A090-D345-4BD8-9E56-4B1E582B7B82},"-46195.36220000032,165726.92640000023"
43,Rua de Currais,209,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,45,{F1934C75-541F-497E-B1FD-8F3D5209FFED},"-37719.28619999997,167412.44449999928"
44,Praça de D. Afonso V,166,Ativo,4.3.3 - Lugar não individualizado oblíquo,Sim,Sim,10,Sim,46,{30B6A5CA-7093-4AB1-9F8C-017D404691A7},"-44739.33519999962,165730.35119999945"
45,Avenida da Cidade de Xangai,196,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,47,{217C7568-0C0E-4DD3-AE5C-EBCCFDBCA40A},"-41968.77130000014,167218.64049999975"
46,Rua do Engenheiro Ferreira Dias,141,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,48,{6581862A-8A3D-4F88-AC41-21C2822A129A},"-43030.4271999998,167440.88529999927"
47,Rua de Diogo Botelho,101,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,49,{C1A10275-36F5-41EF-B8C1-8F4B82286518},"-45186.27720000036,165101.9553999994"
48,Rua do Passeio Alegre,79,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,50,{A6718CBB-D23C-4B05-8D58-67F6C8C67516},"-45075.2603000002,164509.79309999943"
49,Rua do Ouro,36,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,51,{56DA646C-E07E-4E61-9424-2020A0D321A4},"-42942.724100000225,164470.13299999945"
50,Rua do Campo Alegre,179,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,52,{F09B79DB-B083-45C9-B7DC-FE81F5F6EB9A},"-42819.10570000019,165144.95560000092"
51,Avenida das Congostas,198,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,53,{CB44F4D4-2A98-4137-BEC9-57016063DA1A},"-42110.691200000234,167518.16149999946"
52,Avenida da Boavista,183,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,54,{732C62AE-8AAC-470D-AF4D-D993EBE1100F},"-44049.3367999997,166070.2927000001"
53,Rua de Ramalho Ortigão,118,Ativo,4.2.3 - Lugar individualizado oblíquo,Sim,Sim,20,Sim,55,{C1C6C2ED-C018-43A6-9AA4-76ABDC246661},"-40164.09580000024,164552.10789999925"
54,Rua de Damião de Góis,150,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,56,{D4F67B99-9FFD-4E19-92A9-9445FB9DD0F9},"-40166.09449999966,165944.73939999938"
55,Rua de Santos Pousada,47,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,57,{22FD6544-BF5D-4E30-AE1E-914B287E43F0},"-39083.85919999983,165598.56540000066"
56,Largo de Soares dos Reis,52,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,58,{0FCDEC2C-3257-449E-BF77-2A40A9D47C83},"-38860.977199999616,164202.75950000063"
57,Rua de Paulo da Gama,182,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,59,{CF2B3675-CBC9-418C-82B5-76044F3AFF06},"-44209.45839999989,164488.25630000047"
58,Avenida do Marechal Gomes da Costa,105,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,60,{5505AAF4-2C52-4121-B540-C209CD41105A},"-44620.48379999958,165610.61360000074"
59,Campo dos Mártires da Pátria,67,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,61,{2A64F748-DBF4-4DAB-93AD-F4DEBB12413F},"-40654.16830000002,164121.25060000084"
60,Passeio das Virtudes,73,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,62,{A7C593B1-1DD2-4A01-BD21-48C35FA0AD93},"-40735.6484000003,164016.01590000093"
61,Rua de Pinho Leal,165,Ativo,4.3.4 - Lugar não individualizado perpendicular,Sim,Sim,10,Sim,63,{2817CCC8-10F9-4086-BA73-E9CAE904CD13},"-45004.71480000019,166140.16449999996"
62,Avenida do Dr. Antunes Guimarães,136,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,64,{FE5304FF-5574-45C8-8BD0-71986D63479D},"-44192.76690000016,166611.1509000007"
63,Rua de Cedofeita,156,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,65,{B05C1DC5-233C-4018-B4B7-D7209EFA60EF},"-40783.357400000095,165183.15929999948"
64,Avenida de Camilo,50,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,66,{5A1316EF-BE9A-41D4-8B44-4C718DBF9022},"-38752.21569999959,164512.30920000002"
65,Rua de Alberto Aires de Gouveia,173,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,67,{6930A99F-7132-43B5-B618-54E321E9DCFE},"-40899.006599999964,164243.3646000009"
66,Avenida do Dr. Antunes Guimarães,137,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,68,{BA2D1006-12A7-43E5-8B16-C1185D69BDA4},"-44141.98290000018,166688.98289999925"
67,Rua de Jorge Viterbo Ferreira,68,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,69,{79752B64-4F9A-4A9D-8B54-F684EDD1EF7C},"-41241.20129999984,164409.09889999963"
68,Rua de Entreparedes,56,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,70,{7B5BBBB7-EFC1-45A1-B76B-39F723609416},"-39732.4068,164093.56959999911"
69,Rua Helena Sá Costa,111,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,71,{9A6E53E4-58D2-4837-9037-8C08912CF239},"-41753.97259999998,165920.95949999988"
70,Rua do Monte Aventino,41,Ativo,4.3.4 - Lugar não individualizado perpendicular,Sim,Sim,10,Sim,72,{6221B904-6860-4972-821D-9D551872DF70},"-38266.08609999996,165941.71279999986"
71,Rua de Miguel Bombarda,63,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,73,{E530A27A-4B4F-45B4-9FB2-EB4AAF0460EE},"-41096.07620000001,164582.86390000023"
72,Rua de D. Pedro V,204,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,74,{F40DB048-36C8-44DB-98F9-B892A9F7E713},"-41793.324900000356,164572.7609000001"
73,Travessa das Antas,40,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,75,{1EC04B8A-AEE0-4E84-B7BD-BAC92A4954DC},"-38299.33110000007,165751.47699999996"
74,Rua Padre Diamantino Gomes,201,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,76,{BCBDAF77-4C2F-44E3-B080-38E220ABD2AD},"-42309.72890000045,167253.2246000003"
75,Avenida de D. Carlos I,20,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,77,{5B538506-0FE3-40B1-AD6A-781839771828},"-45213.01719999965,164408.7497000005"
76,Rua da Igreja de Ramalde,192,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,78,{BDED5C83-4FCD-458E-9B29-DBC24A21EA1F},"-43231.06460000016,166717.02559999935"
77,Rua de Salazares,146,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,79,{DC89AF5C-7945-4ACD-B2EC-A0074B5B127C},"-44014.952499999665,167583.00180000067"
78,Via Futebol Clube do Porto,6,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,80,{B5C2262B-DFEE-4EFB-8156-B7680936C9FC},"-37799.26989999972,166098.98110000044"
79,Rua do Estrela e Vigorosa Sport,216,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,81,{34F66C82-935F-419F-BC85-AE2120543654},"-38263.093500000425,166518.24129999988"
80,Rua do Dr. António Bernardino de Almeida,11,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,82,{B1BF3974-BD5F-4FB2-BFA1-28B254402DD4},"-39815.51609999966,167655.46880000085"
81,Rua de Delfim Maia,189,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,83,{DD9A1328-AAEF-47FD-A5AE-BAD1B47E484A},"-43223.47180000041,166976.15069999918"
82,Rua de Aleixo Mota,110,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,84,{E48A9F1E-A8D3-47C6-B5D6-62515D78B55A},"-43875.80140000023,164699.9243999999"
83,Praça de Mouzinho de Albuquerque,90,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,85,{56C71A27-9DA3-4B94-8C14-4304FBC51612},"-41671.09570000041,165425.28360000066"
84,Praça da República,2,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,86,{D29333C0-4627-495B-B91B-E48309A8B3AC},"-40222.29030000046,165207.1701999996"
85,Praça de Guilherme Gomes Fernandes,69,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,87,{026C41BA-F1F3-46F1-94CF-567021B62E6A},"-40436.314100000076,164416.54169999994"
86,Rua de João de Barros,170,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,88,{1A59C026-1ECC-4275-B34F-7EEC961B6768},"-44389.6436999999,165031.37170000002"
87,Avenida da Boavista,93,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,89,{3436326F-4E93-44A1-A68F-7FDEF4D9EE39},"-42349.06309999991,165687.38719999976"
88,Rua do Campo Alegre,76,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,90,{26177650-6EB2-4CF3-A638-0C5981A6D954},"-42728.79339999985,165108.9955000002"
89,Rua da Alegria,45,Ativo,4.2.3 - Lugar individualizado oblíquo,Sim,Sim,10,Sim,91,{AB708BA9-2283-4646-94F2-7B71CC0BC504},"-39080.705400000326,166304.14829999954"
90,Rua de Tânger,97,Ativo,4.2.4 - Lugar individualizado perpendicular,Sim,Sim,10,Sim,92,{E2CF5E94-3D4D-40ED-BF99-66E1774ACB7A},"-44475.870900000446,166148.4879999999"
91,Rua Padre Diamantino Gomes,200,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,93,{8FE146B2-0AE8-4A55-AA31-01491A7A969A},"-42067.8415000001,167359.6593999993"
92,Praça dos Poveiros,55,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,94,{F17AF50D-0039-4A05-A81D-776AE9195426},"-39551.11639999971,164210.9508999996"
93,Avenida do Brasil,28,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,95,{39E12C27-280F-4943-8591-0A821FE44E1C},"-46044.51130000036,165458.09789999947"
94,Rua Henrique de Sousa Reis,213,Ativo,4.2.3 - Lugar individualizado oblíquo,Sim,Sim,10,Sim,96,{B54D8961-7507-4FB3-BADA-CF9204EAB493},"-38492.07320000045,167654.3599999994"
95,Rua da Constituição,147,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,97,{7328F5D2-B204-40DA-B81A-92260FAA7110},"-40895.650899999775,166187.0343999993"
96,Rua de S. Brás,153,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,98,{667E8758-7CC6-4A92-8DC1-7A5EB26B1531},"-40031.925099999644,165789.2918999996"
97,Avenida de Gustavo Eiffel,37,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,99,{97BF5130-B8AA-483E-9CE0-F7FFDE1DB9D5},"-39587.479799999855,163740.7100000009"
98,Largo da Lapa,154,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,100,{26484200-15C3-433D-A0BC-30186E2DA88B},"-40151.65029999986,165420.86510000005"
99,Avenida da Cidade de Xangai,197,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,101,{2F37F4F3-45F5-438D-9010-16637AC3A22A},"-42089.99650000036,167474.16809999943"
100,Rua da Constituição,113,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,102,{7EC60C83-8166-488E-B869-15B5DBFA161F},"-39833.00789999962,166004.86370000057"
101,Rua de Calouste Gulbenkian,177,Ativo,4.2.2 - Lugar individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,103,{3076465E-70B2-4DE0-B146-ADD222E0F172},"-41496.629099999554,164844.8002000004"
102,Rua do Porto Feliz,207,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,104,{9F161949-CB7C-4BAF-A46A-3A348FF81D7F},"-37782.42609999981,167396.66410000063"
103,Esplanada do Castelo,30,Ativo,4.3.1 - Lugar não individualizado longitudinal em retângulo,Sim,Sim,10,Sim,105,{564241DB-CA33-41EB-9468-DC8A406B41AF},"-45196.9609000003,164563.0538999997"
104,Avenida do Brasil,29,Ativo,4.3.3 - Lugar não individualizado oblíquo,Sim,Sim,15,Sim,106,{56044FAD-14B0-45C5-8015-EFA385AA3EC1},"-45825.941800000146,165109.98379999958"
105,Avenida do Parque,98,Ativo,4.3.2 - Lugar não individualizado longitudinal em paralelogramo,Sim,Sim,10,Sim,107,{EF7E2E5F-3FF7-41EE-A995-A278D1549FDA},"-45220.8861999996,166424.55480000004"
106,Rua da Constituição,148,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,108,{5E59AAAD-7E8D-4949-BC87-1B386EE75F40},"-40537.26620000042,166126.65499999933"
107,Rua da Cerca,100,Ativo,4.2.3 - Lugar individualizado oblíquo,Sim,Sim,10,Sim,109,{2E594DC1-EE1F-4DA9-84AC-DF6998FE127E},"-45402.803399999626,165145.875"
108,Rua de Guedes de Azevedo,60,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,110,{84A56615-E0B1-43DB-B8A3-C5596743EA5C},"-39785.379200000316,164903.02270000055"
109,Rua Alfredo Allen,1,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,111,{F74A281B-EADE-43A2-846A-D4F7CBED6427},"-39620.45990000013,167708.1813999992"
110,Rua de Saraiva de Carvalho,205,Ativo,4.2.1 - Lugar individualizado longitudinal em retângulo,Sim,Sim,10,Sim,112,{5A27E4CF-E27D-4275-945A-C3E53428C389},"-39983.16119999997,163886.9416000005"
