,year,,,,,,,,,,,,,,,,,,,,,
Values,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,,Grand Total
SUM of purchasing_power_per_capita,147.62,147.63,0,154.02,0,157.82,0,161.43,0,0,0,0,0,0,0,0,0,0,0,0,0,768.52
SUM of average_monthly_income,1628.7,1555.4,1498.3,1416.7,1374.5,1336.9,1318.7,1318.3,1307.2,1324.9,1299.2,1279.9,0,0,0,0,0,0,0,0,0,16658.7
SUM of markets,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
SUM of net_attraction_rate,0.9,-0.3,0.2,1,-1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
SUM of companies,48748,44595,42429,42927,41027,39859,38056,36840,35960,35227,35512,36780,37821,39662,40698,0,0,0,0,0,0,596141
markets per parish,,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",6,,,,,,,,,,,,,,,,,,,,,
Bonfim,1,,,,,,,,,,,,,,,,,,,,,
Campanhã,1,,,,,,,,,,,,,,,,,,,,,
"União das freguesias de Aldoar, Foz do Douro e Nevogilde",2,,,,,,,,,,,,,,,,,,,,,
União das freguesias de Lordelo do Ouro e Massarelos,1,,,,,,,,,,,,,,,,,,,,,
Ramalde,0,,,,,,,,,,,,,,,,,,,,,
Paranhos,0,,,,,,,,,,,,,,,,,,,,,