,Year,,,,,,,,,,,,,,,,,,,,,,,,,
Values,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,Grand Total
SUM of higher_education,40,40,40,40,40,40,40,40,40,40,41,41,40,40,41,41,41,44,45,46,45,0,0,0,0,865
SUM of basicschool_counts,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
SUM of museum_counts,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53
SUM of theater_counts,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
SUM of sports_counts,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
SUM of cinema_counts,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SUM of cultural_expenditure,12.8,13,11.4,11.5,9.8,8.9,10,7.5,8.9,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.5
basicschool_parish,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonfim,10,,,,,,,,,,,,,,,,,,,,,,,,,
Campanhã,14,,,,,,,,,,,,,,,,,,,,,,,,,
Paranhos,13,,,,,,,,,,,,,,,,,,,,,,,,,
Ramalde,11,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Aldoar, Foz do Douro e Nevogilde",5,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",13,,,,,,,,,,,,,,,,,,,,,,,,,
União de Freguesias de Lordelo do Ouro e Massarelos,8,,,,,,,,,,,,,,,,,,,,,,,,,
theater_parish,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonfim,0,,,,,,,,,,,,,,,,,,,,,,,,,
Campanhã,0,,,,,,,,,,,,,,,,,,,,,,,,,
Paranhos,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ramalde,0,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Aldoar, Foz do Douro e Nevogilde",1,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",10,,,,,,,,,,,,,,,,,,,,,,,,,
União de Freguesias de Lordelo do Ouro e Massarelos,1,,,,,,,,,,,,,,,,,,,,,,,,,
museums_parish,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonfim,4,,,,,,,,,,,,,,,,,,,,,,,,,
Campanhã,4,,,,,,,,,,,,,,,,,,,,,,,,,
Paranhos,6,,,,,,,,,,,,,,,,,,,,,,,,,
Ramalde,3,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Aldoar, Foz do Douro e Nevogilde",3,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",23,,,,,,,,,,,,,,,,,,,,,,,,,
União de Freguesias de Lordelo do Ouro e Massarelos,10,,,,,,,,,,,,,,,,,,,,,,,,,
cinemas_parish,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonfim,0,,,,,,,,,,,,,,,,,,,,,,,,,
Campanhã,1,,,,,,,,,,,,,,,,,,,,,,,,,
Paranhos,0,,,,,,,,,,,,,,,,,,,,,,,,,
Ramalde,0,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Aldoar, Foz do Douro e Nevogilde",0,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",3,,,,,,,,,,,,,,,,,,,,,,,,,
União de Freguesias de Lordelo do Ouro e Massarelos,2,,,,,,,,,,,,,,,,,,,,,,,,,
sports_parish,,,,,,,,,,,,,,,,,,,,,,,,,,
Bonfim,2,,,,,,,,,,,,,,,,,,,,,,,,,
Campanhã,7,,,,,,,,,,,,,,,,,,,,,,,,,
Paranhos,4,,,,,,,,,,,,,,,,,,,,,,,,,
Ramalde,4,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Aldoar, Foz do Douro e Nevogilde",3,,,,,,,,,,,,,,,,,,,,,,,,,
"União de Freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",4,,,,,,,,,,,,,,,,,,,,,,,,,
União de Freguesias de Lordelo do Ouro e Massarelos,4,,,,,,,,,,,,,,,,,,,,,,,,,